row,original_text,original_word,corrected_word,source
0,Idime ni ituku ja njumwa,ja,jha,confirmed_correction
4,Ini ni mwalimu wa kij'omba,kij'omba,kijomba,apostrophe_rule
50,Napoilwa ni kufuma shighadi ya izanga,izanga,isanga,confirmed_correction
105,Kuseliwe kughora ``chawucha'',chawucha'',chawucha,apostrophe_rule
111,Kila mndu wawehitaji rafiki wa loli,mndu,mundu,confirmed_correction
112,Ishima ni ilagho ja lazima,ja,jha,confirmed_correction
133,Kupoilwa ni ilagho ja thamani,ja,jha,confirmed_correction
134,Mchezo gwa moira ghwa mindi ghwmanyikie,gwa,ghwa,confirmed_correction
134,Mchezo gwa moira ghwa mindi ghwmanyikie,ghwmanyikie,ghwamanyikie,confirmed_correction
138,Kulola sere ni ilagho ja munimu,ja,jha,confirmed_correction
151,Bahati ni ilagho ja bahati,ja,jha,confirmed_correction
174,Deko na ijukumu jehifandi izanga,izanga,isanga,confirmed_correction
198,Kuka na kupolikwa ni ilagho ja thamani,ja,jha,confirmed_correction
202,Kusikira ni ilagho ja muhimu,ja,jha,confirmed_correction
203,Poilwa ni kila ituku ja maisha,ja,jha,confirmed_correction
205,Wusalama ni ilagho ja kipaumbele,ja,jha,confirmed_correction
207,Idime ni ituku jipoiye ja iruwa na ndoo kuela kabisa,ja,jha,confirmed_correction
218,Kukae mndu womkasa Mlungu matuku ghose,mndu,mundu,confirmed_correction
223,Kughitunza mazingira ni ijukumu ja kila umweri,ja,jha,confirmed_correction
224,Wukulima nigho iindi ja mghongo ja mazangamenhi Africa,ja,jha,confirmed_correction
224,Wukulima nigho iindi ja mghongo ja mazangamenhi Africa,ja,jha,confirmed_correction
228,Kulipa wushuru ni ijukumu ja kila muizanga,ja,jha,confirmed_correction
232,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,uja,ujha,confirmed_correction
232,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,ja,jha,confirmed_correction
255,Msarigho gwa mindi gwapoiyagha wandu wengi saana,gwa,ghwa,confirmed_correction
258,Kila mndu woko na miri na asili yake,mndu,mundu,confirmed_correction
263,Wuvivu ghadareda wuzumba gwa hali ya juu,gwa,ghwa,confirmed_correction
269,Izanga ja Kenya jeko na wazuri wengi,Izanga,Isanga,confirmed_correction
269,Izanga ja Kenya jeko na wazuri wengi,ja,jha,confirmed_correction
271,Izanga ja kemya jeko na wazumba wengi,Izanga,Isanga,confirmed_correction
271,Izanga ja kemya jeko na wazumba wengi,ja,jha,confirmed_correction
