tier,edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
review,substitution,l/k,8.6,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,lwa,164,Nadima kusikira lwaka lwa ndege,,,
auto,substitution,k/a,70.9,awa,20,Awa wiwae widima kupata.,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
auto,indel,u,202.6,kuwa,7,Kuwa mbogha,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
auto,substitution,k/g,354.5,gwa,4,Mchezo gwa moira ghwa mindi ghwmanyikie,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
auto,substitution,s/a,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,kws,3,Eka yakaiagha ilagho ja mana kuboisa chama chetesia KWS,,,
auto,substitution,k/o,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,owa,3,Chienyi kwake owa midi kufuma Wuimgereza,,,
auto,substitution,k/r,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,rwa,3,Rwa nguwo ra ishima,,,
review,indel,',2.8,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,wandu,322,Wandu wefwana wiheshimiane,,,
review,indel,w,1.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,,,
auto,substitution,u/a,13.4,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'undu,67,Narumaghia masholio kwa w'undu ghwako.,,,
auto,indel,i,149.7,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'anidu,6,Awa ni w'anidu wabaha,,,
auto,indel,e,179.6,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'anedu,5,Namvoya w'anedu mkaie sa iji koni niko.,,,
auto,substitution,u/i,224.5,w'andi,4,W'andi w'amu walaghashire maisha.,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,,,
review,substitution,g/c,1.4,cha,367,Charo cha moda mbaha nichesisimua,gha,526,Wusalama gha barabarenyi ni muhimu saana,,,
review,substitution,a/g,2.7,aha,197,Ini aha nakoja kukaia moyo.,gha,526,Wusalama gha barabarenyi ni muhimu saana,,,
review,indel,a,3.4,agha,157,Agha ni matuku gha kutua mbai.,gha,526,Wusalama gha barabarenyi ni muhimu saana,,,
review,indel,i,1.5,cha,367,Charo cha moda mbaha nichesisimua,chia,237,Sanaa ni chia yejieleza,,,
auto,substitution,s/g,14.3,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,shwa,39,Iji igare jadima kwa shwa sana.,,,
review,indel,w,3.8,mana,123,Msinde mana.,mwana,462,W'eni mwana mkelie inyo.,,,
review,indel,w,1.3,andu,252,Chuo kibaa ni andu kupoiye kushoma,wandu,322,Wandu wefwana wiheshimiane,,,
review,substitution,a/c,1.9,aha,197,Ini aha nakoja kukaia moyo.,cha,367,Charo cha moda mbaha nichesisimua,,,
auto,substitution,u/w,111.4,ghua,5,Naenda ghua Mwemba,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,,,
auto,indel,h,139.2,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,gwa,4,Mchezo gwa moira ghwa mindi ghwmanyikie,,,
auto,substitution,i/w,139.2,ghia,4,"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,,,
review,indel,m,4.8,mwana,462,W'eni mwana mkelie inyo.,wana,97,Wana wawecheza kiwachenyi,,,
auto,substitution,g/j,18.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,jha,29,Ishati jhake ni jha misharia,,,
review,substitution,m/a,1.2,andu,252,Chuo kibaa ni andu kupoiye kushoma,mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
review,substitution,n/k,5.5,mwaka,84,Mwaka mbishi ni nafasi yezoya wuwishi,mwana,462,W'eni mwana mkelie inyo.,,,
review,indel,u,1.3,mndu,301,Kila mndu wawehitaji rafiki wa loli,mundu,234,Kula mundu unyonyorelo mudinyi.,,,
auto,substitution,a/e,65.8,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghe,8,Wazazi wafunya malengo ghe teseia.,,,
auto,indel,o,75.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,ogha,7,Kaenda Mombasa na kwende baharinyi kwa ogha na machi gha chumbi,,,
auto,substitution,u/h,87.7,gha,526,Wusalama gha barabarenyi ni muhimu saana,gua,6,Mao waenda gua mbogha kinyangeyi.,,,
auto,substitution,o/a,87.7,gha,526,Wusalama gha barabarenyi ni muhimu saana,gho,6,Ihii nyumba eko na wulalo gho horesha.,,,
auto,indel,u,105.2,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghua,5,Naenda ghua Mwemba,,,
auto,indel,i,131.5,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghia,4,"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",,,
auto,substitution,w/h,131.5,gha,526,Wusalama gha barabarenyi ni muhimu saana,gwa,4,Mchezo gwa moira ghwa mindi ghwmanyikie,,,
review,substitution,g/d,1.0,andu,252,Chuo kibaa ni andu kupoiye kushoma,angu,262,Huwu loli kunilowua angu kwawanikalia.,,,
review,substitution,m/h,8.3,hachi,55,Mzuri hachi.,machi,455,Kuseliwe kunywa machi gha kutosha,,,
review,substitution,g/c,8.8,machi,455,Kuseliwe kunywa machi gha kutosha,maghi,52,Maghi ana ghachika.,,,
auto,indel,v,23.0,indo,21,Kusedile hata indo jimweri,vindo,483,Vindo vako vaka tayari,,,
auto,substitution,k/v,24.1,kindo,20,Sikunde kindo chingi nekunda lukundo.,vindo,483,Vindo vako vaka tayari,,,
review,substitution,u/i,2.3,kila,346,Poilwa ni kila ngelo y amaisha,kula,153,Nyonyi ridima kusafiri kula,,,
auto,substitution,b/m,12.8,bwana,36,Kukaia na irumirio na Bwana.,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,o/u,161.0,vindo,483,Vindo vako vaka tayari,vindu,3,W'andu w'etonywa ni mada w'endaw'ona vindu ivo visingie.,,,
auto,substitution,u/i,16.2,machi,455,Kuseliwe kunywa machi gha kutosha,machu,28,Inja machu ghako.,,,
auto,substitution,a/w,24.3,maana,19,Wufundi ni wujuzi ghwa maana,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,m/f,33.0,fwana,14,Kuaeliwe kughua vilambo va fwana,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,o/a,51.3,mwana,462,W'eni mwana mkelie inyo.,mwano,9,Obonya mwano.,,,
auto,substitution,m/n,41.4,machi,455,Kuseliwe kunywa machi gha kutosha,nachi,11,Nachi ozerwa w'ei wabonya miujiza ya tee.,,,
auto,indel,d,154.0,mwana,462,W'eni mwana mkelie inyo.,mwanda,3,Isanga jedu ja Mwanda jechaghaluka,,,
auto,substitution,k/m,154.0,kwana,3,Dedeka dikwane lakini ndediche kwana,mwana,462,W'eni mwana mkelie inyo.,,,
review,substitution,n/d,2.9,w'ada,120,W'adaw'ida w'ada poilwa ni chai,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,,,
review,substitution,i/a,3.1,kala,113,Sere yake idadua kwa kala na kala.,kila,346,Poilwa ni kila ngelo y amaisha,,,
review,indel,i,4.3,cha,367,Charo cha moda mbaha nichesisimua,chai,85,Chai chapo wele chaenda hao chikoghe anyaa.,,,
review,indel,',3.5,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,wana,97,Wana wawecheza kiwachenyi,,,
review,substitution,n/k,3.5,w'aka,97,W'aka w'eka na ghawo.,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,,,
review,substitution,m/o,1.5,mka,173,Mka oko na kwaw'o.,oka,264,Oka na skulu yake.,,,
review,substitution,e/o,1.9,ngelo,272,Lumalwakenyi ni ngelo ipoiye yehoresha,ngolo,140,Kuasefo ngolo tima sena,,,
auto,substitution,c/j,12.7,cha,367,Charo cha moda mbaha nichesisimua,jha,29,Ishati jhake ni jha misharia,,,
review,substitution,n/j,6.5,w'aja,53,Paulo na w'aja w'adumi w'azima.,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,,,
review,substitution,l/r,7.7,kila,346,Poilwa ni kila ngelo y amaisha,kira,45,Ituku ijo jiwuye kira.,,,
auto,indel,o,20.4,cha,367,Charo cha moda mbaha nichesisimua,ocha,18,Ocha kwapo ighuo,,,
auto,indel,n,40.8,cha,367,Charo cha moda mbaha nichesisimua,ncha,9,Mando ghamu ni ncha kubonya mazoezi,,,
auto,indel,u,61.2,cha,367,Charo cha moda mbaha nichesisimua,chua,6,Chongonyi kwake kwa chua maghesho pacha,,,
auto,indel,m,61.2,cha,367,Charo cha moda mbaha nichesisimua,mcha,6,Aba mlungu Koko mcha na kwaine wughoma.,,,
auto,substitution,e/a,61.2,cha,367,Charo cha moda mbaha nichesisimua,che,6,Ghenda kulole chaghu che bonya,,,
auto,substitution,o/a,61.2,cha,367,Charo cha moda mbaha nichesisimua,cho,6,Cho dije dadeka mswara na mnavu.,,,
auto,substitution,k/b,13.3,bila,26,Vilongozi wefwana kuhudumia wananchi bila kubagua ungi,kila,346,Poilwa ni kila ngelo y amaisha,,,
auto,indel,i,91.8,cha,367,Charo cha moda mbaha nichesisimua,icha,4,Dibora chumbo ilinga njumwa icha ikanisenyi?,,,
auto,indel,u,91.8,cha,367,Charo cha moda mbaha nichesisimua,ucha,4,Ucha ghudishwa,,,
auto,indel,o,91.8,cha,367,Charo cha moda mbaha nichesisimua,chao,4,Chao ichi cheko na malagho ghipoie.,,,
auto,substitution,n/y,12.2,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'aya,28,Orekoghe na w'wana ghodeda ghuseko na w'aya.,,,
review,substitution,j/n,2.2,iji,114,Iji w'aw'onyera lubando uchaainjwa.,ini,248,Ini ni mwalimu wa kij'omba,,,
auto,substitution,a/o,28.8,kila,346,Poilwa ni kila ngelo y amaisha,kilo,12,Enda idukenyi kuuziro mapemba kilo isanau alafu kushelo mufu.,,,
auto,substitution,l/m,28.8,kila,346,Poilwa ni kila ngelo y amaisha,kima,12,Kuseide mbao kima,,,
review,substitution,h/n,2.3,ihi,109,Mruke ni ghwa ighu nadime ihi,ini,248,Ini ni mwalimu wa kij'omba,,,
review,indel,g,1.3,agha,157,Agha ni matuku gha kutua mbai.,aha,197,Ini aha nakoja kukaia moyo.,,,
auto,substitution,l/n,57.7,kila,346,Poilwa ni kila ngelo y amaisha,kina,6,Kina chakotwa,,,
review,substitution,o/a,3.0,oka,264,Oka na skulu yake.,oko,88,Mlungu oko moyo.,,,
auto,substitution,k/m,69.2,kila,346,Poilwa ni kila ngelo y amaisha,mila,5,Isanga iji jeko na mila riboie.,,,
review,substitution,n/a,6.0,madu,50,Uhu oka na madu ghesikira usikire.,mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
auto,substitution,a/o,38.0,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'ona,9,W'ona seji w'ajikucha,,,
auto,substitution,k/l,69.2,kila,346,Poilwa ni kila ngelo y amaisha,lila,5,Leka lila,,,
auto,substitution,a/e,23.8,nicha,333,Sikira nicha madongozo ghapo,niche,14,Basi nizere koko hao niche idana.,,,
auto,substitution,a/u,13.4,wandu,322,Wandu wefwana wiheshimiane,wundu,24,Mdamu oko na wundu miki ghukurie shuu.,,,
auto,substitution,n/p,25.6,nicha,333,Sikira nicha madongozo ghapo,picha,13,Picha ni chia yerekodi maghesho,,,
auto,indel,g,114.0,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'anga,3,W'anga w'andu w'iche tesia,,,
review,substitution,a/e,1.1,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,sena,181,Kuasefo ngolo tima sena,,,
auto,substitution,a/o,30.3,nicha,333,Sikira nicha madongozo ghapo,nicho,11,Icho nicho chichanitesia kufuma aha.,,,
review,substitution,m/h,1.3,hao,195,Kio ichi chose kuendaa hao?,mao,148,Lukundo lwa mao ni lwa kipekee,,,
auto,indel,i,37.0,ncha,9,Mando ghamu ni ncha kubonya mazoezi,nicha,333,Sikira nicha madongozo ghapo,,,
auto,substitution,i/a,37.0,nacha,9,Nacha nyumbenyi,nicha,333,Sikira nicha madongozo ghapo,,,
auto,substitution,i/e,47.6,necha,7,Necha icho,nicha,333,Sikira nicha madongozo ghapo,,,
auto,indel,n,83.2,icha,4,Dibora chumbo ilinga njumwa icha ikanisenyi?,nicha,333,Sikira nicha madongozo ghapo,,,
review,substitution,v/k,1.2,kilambo,181,Hakuna kilambo chipoiye sa kisekesho,vilambo,155,Kuaeliwe kughua vilambo va fwana,,,
review,indel,k,4.0,koka,66,Andenyi ya Nyumba koka na choka,oka,264,Oka na skulu yake.,,,
auto,indel,m,46.0,mwandu,7,Mwandu wawecha idime.,wandu,322,Wandu wefwana wiheshimiane,,,
auto,substitution,w/m,64.4,mandu,5,"Wachaghirie mandu adadu kwa w'omi w'azima, uko si kushughunuka?",wandu,322,Wandu wefwana wiheshimiane,,,
review,substitution,i/a,3.1,ani,79,Kukasighwa ni fumanya na ani.,ini,248,Ini ni mwalimu wa kij'omba,,,
auto,indel,e,107.3,wandu,322,Wandu wefwana wiheshimiane,wanedu,3,Wanedu waboilwa ni sarigho.,,,
auto,indel,i,107.3,wandu,322,Wandu wefwana wiheshimiane,wanidu,3,Sharon wabonyere wanidu winileghe putu.,,,
auto,substitution,d/g,107.3,wandu,322,Wandu wefwana wiheshimiane,wangu,3,Wangu wekundika witesiana msimu ghwa wasi.,,,
auto,substitution,z/w,31.3,kawi,10,Linu ni kiramka kawi,kazi,313,Kazi yapo yawehitaji wumakini,,,
review,substitution,n/r,3.4,ini,248,Ini ni mwalimu wa kij'omba,iri,72,Ola kurighore maza iri.,,,
auto,substitution,z/t,62.6,kati,5,Chuki kati ya wanajamii matuku ghose hureda hasara,kazi,313,Kazi yapo yawehitaji wumakini,,,
auto,substitution,d/k,62.6,dazi,5,W'adaw'ana na w'ai w'apoilwagha kuvina dazi,kazi,313,Kazi yapo yawehitaji wumakini,,,
review,substitution,e/o,4.9,eka,54,Eka ghadi na ghadi ya bahari.,oka,264,Oka na skulu yake.,,,
review,substitution,n/s,3.6,ini,248,Ini ni mwalimu wa kij'omba,isi,69,Isi ni raiya wa dunia ihi,,,
review,substitution,a/o,4.9,vua,259,Vua nyingi yanyee ikasababisha mafuriko,vuo,53,Matuku ghose nadapoilwa ni kushoma vuo,,,
review,indel,y,5.6,kukaia,264,Kukaia na irumirio na Bwana.,kukaiya,47,Na ngera yadima kukaiya shekeria ni kii?,,,
auto,indel,n,43.0,mdu,7,Matuku ghose mdu wadima kuzoya wuwishi.,mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
auto,indel,a,60.2,mandu,5,"Wachaghirie mandu adadu kwa w'omi w'azima, uko si kushughunuka?",mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
auto,substitution,m/i,100.3,indu,3,Wichaburuka ighu sa indu.,mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
